record_type,phase,component,pixel,row,col,x_um,y_um,value_nT,unit
B,neg-off,Bz,897,1,2,-86.66666666666667,-93.33333333333333,-3843.4046682226026,nT
B,pos-off,Bx,838,1,3,-80.0,-93.33333333333333,1068.268927122332,nT
B,pos-off,By,838,1,3,-80.0,-93.33333333333333,2392.9151432347053,nT
B,pos-off,Bz,838,1,3,-80.0,-93.33333333333333,2864.8196085831964,nT
B,neg-off,Bx,838,1,3,-80.0,-93.33333333333333,-1771.7481312300845,nT
B,neg-off,By,838,1,3,-80.0,-93.33333333333333,-4220.900186168021,nT
B,neg-off,Bz,838,1,3,-80.0,-93.33333333333333,-4232.380328127813,nT
B,pos-off,Bx,835,1,4,-73.33333333333333,-93.33333333333333,541.8550125034703,nT
B,pos-off,By,835,1,4,-73.33333333333333,-93.33333333333333,2255.2648646188645,nT
B,pos-off,Bz,835,1,4,-73.33333333333333,-93.33333333333333,3004.8547519886315,nT
B,neg-off,Bx,835,1,4,-73.33333333333333,-93.33333333333333,-1076.8031370113026,nT
B,neg-off,By,835,1,4,-73.33333333333333,-93.33333333333333,-3743.8739393701153,nT
B,neg-off,Bz,835,1,4,-73.33333333333333,-93.33333333333333,-3986.6829864480774,nT
B,pos-off,Bx,776,1,5,-66.66666666666666,-93.33333333333333,1534.340044138685,nT
B,pos-off,By,776,1,5,-66.66666666666666,-93.33333333333333,2972.467678051514,nT
B,pos-off,Bz,776,1,5,-66.66666666666666,-93.33333333333333,3880.3247542639474,nT
B,neg-off,Bx,776,1,5,-66.66666666666666,-93.33333333333333,-2691.9527329579655,nT
B,neg-off,By,776,1,5,-66.66666666666666,-93.33333333333333,-6208.3802928237255,nT
B,neg-off,Bz,776,1,5,-66.66666666666666,-93.33333333333333,-6468.72132644592,nT
B,pos-off,Bx,773,1,6,-60.0,-93.33333333333333,774.6592142641755,nT
B,pos-off,By,773,1,6,-60.0,-93.33333333333333,3200.538253602923,nT
B,pos-off,Bz,773,1,6,-60.0,-93.33333333333333,4308.870085350915,nT
B,neg-off,Bx,773,1,6,-60.0,-93.33333333333333,-1636.255634923887,nT
B,neg-off,By,773,1,6,-60.0,-93.33333333333333,-5881.619057157305,nT
B,neg-off,Bz,773,1,6,-60.0,-93.33333333333333,-6040.706787390305,nT
B,pos-off,Bx,714,1,7,-53.33333333333333,-93.33333333333333,1598.783785323173,nT
B,pos-off,By,714,1,7,-53.33333333333333,-93.33333333333333,3304.575677421179,nT
B,pos-off,Bz,714,1,7,-53.33333333333333,-93.33333333333333,4634.974503319988,nT
B,neg-off,Bx,714,1,7,-53.33333333333333,-93.33333333333333,-3586.972458160817,nT
B,neg-off,By,714,1,7,-53.33333333333333,-93.33333333333333,-8050.546099112797,nT
B,neg-off,Bz,714,1,7,-53.33333333333333,-93.33333333333333,-8042.3266887454965,nT
B,pos-off,Bx,711,1,8,-46.666666666666664,-93.33333333333333,1053.0288375896966,nT
B,pos-off,By,711,1,8,-46.666666666666664,-93.33333333333333,3694.0509149284794,nT
B,pos-off,Bz,711,1,8,-46.666666666666664,-93.33333333333333,4738.184752446608,nT
B,neg-off,Bx,711,1,8,-46.666666666666664,-93.33333333333333,-2071.0558746146767,nT
B,neg-off,By,711,1,8,-46.666666666666664,-93.33333333333333,-8287.428742900443,nT
B,neg-off,Bz,711,1,8,-46.666666666666664,-93.33333333333333,-7679.833181316363,nT
B,pos-off,Bx,652,1,9,-40.0,-93.33333333333333,1941.9332358325603,nT
B,pos-off,By,652,1,9,-40.0,-93.33333333333333,4075.956051049826,nT
B,pos-off,Bz,652,1,9,-40.0,-93.33333333333333,5303.55973852625,nT
B,neg-off,Bx,652,1,9,-40.0,-93.33333333333333,-3681.7422106979,nT
B,neg-off,By,652,1,9,-40.0,-93.33333333333333,-11165.043912945466,nT
B,neg-off,Bz,652,1,9,-40.0,-93.33333333333333,-10348.300735910694,nT
B,pos-off,Bx,649,1,10,-33.33333333333333,-93.33333333333333,1610.5378949331293,nT
B,pos-off,By,649,1,10,-33.33333333333333,-93.33333333333333,4534.9628206244615,nT
B,pos-off,Bz,649,1,10,-33.33333333333333,-93.33333333333333,5540.0976615869895,nT
B,neg-off,Bx,649,1,10,-33.33333333333333,-93.33333333333333,-2419.182508341703,nT
B,neg-off,By,649,1,10,-33.33333333333333,-93.33333333333333,-11749.955959893961,nT
B,neg-off,Bz,649,1,10,-33.33333333333333,-93.33333333333333,-9899.040495264524,nT
B,pos-off,Bx,590,1,11,-26.666666666666657,-93.33333333333333,2029.009791685193,nT
B,pos-off,By,590,1,11,-26.666666666666657,-93.33333333333333,5878.4676064174955,nT
B,pos-off,Bz,590,1,11,-26.666666666666657,-93.33333333333333,5874.72489617078,nT
B,neg-off,Bx,590,1,11,-26.666666666666657,-93.33333333333333,-3856.853773003904,nT
B,neg-off,By,590,1,11,-26.666666666666657,-93.33333333333333,-17424.27139121284,nT
B,neg-off,Bz,590,1,11,-26.666666666666657,-93.33333333333333,-13032.33016518578,nT
B,pos-off,Bx,587,1,12,-20.0,-93.33333333333333,2191.1320937780406,nT
B,pos-off,By,587,1,12,-20.0,-93.33333333333333,7286.963714808667,nT
B,pos-off,Bz,587,1,12,-20.0,-93.33333333333333,6053.2960778917995,nT
B,neg-off,Bx,587,1,12,-20.0,-93.33333333333333,-3254.543373182209,nT
B,neg-off,By,587,1,12,-20.0,-93.33333333333333,-17537.5961297842,nT
B,neg-off,Bz,587,1,12,-20.0,-93.33333333333333,-11466.408645053929,nT
B,pos-off,Bx,528,1,13,-13.333333333333329,-93.33333333333333,2747.439770342056,nT
B,pos-off,By,528,1,13,-13.333333333333329,-93.33333333333333,9786.72901408023,nT
B,pos-off,Bz,528,1,13,-13.333333333333329,-93.33333333333333,6481.576892252568,nT
B,neg-off,Bx,528,1,13,-13.333333333333329,-93.33333333333333,-4837.91817415344,nT
B,neg-off,By,528,1,13,-13.333333333333329,-93.33333333333333,-26377.02640834376,nT
B,neg-off,Bz,528,1,13,-13.333333333333329,-93.33333333333333,-15115.833128014485,nT
B,pos-off,Bx,525,1,14,-6.666666666666657,-93.33333333333333,2383.8614270013973,nT
B,pos-off,By,525,1,14,-6.666666666666657,-93.33333333333333,11017.425331258039,nT
B,pos-off,Bz,525,1,14,-6.666666666666657,-93.33333333333333,6169.88613774619,nT
B,neg-off,Bx,525,1,14,-6.666666666666657,-93.33333333333333,-3852.074897639143,nT
B,neg-off,By,525,1,14,-6.666666666666657,-93.33333333333333,-21433.473011553873,nT
B,neg-off,Bz,525,1,14,-6.666666666666657,-93.33333333333333,-9431.680864663942,nT
B,pos-off,Bx,466,1,15,0.0,-93.33333333333333,1846.5749696927548,nT
B,pos-off,By,466,1,15,0.0,-93.33333333333333,11973.971694115698,nT
B,pos-off,Bz,466,1,15,0.0,-93.33333333333333,5671.972576080829,nT
B,neg-off,Bx,466,1,15,0.0,-93.33333333333333,-3541.636226295269,nT
B,neg-off,By,466,1,15,0.0,-93.33333333333333,-26092.58160997848,nT
B,neg-off,Bz,466,1,15,0.0,-93.33333333333333,-11308.746111350954,nT
B,pos-off,Bx,463,1,16,6.666666666666671,-93.33333333333333,1529.435662685162,nT
B,pos-off,By,463,1,16,6.666666666666671,-93.33333333333333,9637.17849030438,nT
B,pos-off,Bz,463,1,16,6.666666666666671,-93.33333333333333,3804.2469928942564,nT
B,neg-off,Bx,463,1,16,6.666666666666671,-93.33333333333333,-3004.635748127968,nT
B,neg-off,By,463,1,16,6.666666666666671,-93.33333333333333,-16384.779196882453,nT
B,neg-off,Bz,463,1,16,6.666666666666671,-93.33333333333333,-4452.546311185944,nT
B,pos-off,Bx,404,1,17,13.333333333333343,-93.33333333333333,1165.32119952237,nT
B,pos-off,By,404,1,17,13.333333333333343,-93.33333333333333,9707.949569085707,nT
B,pos-off,Bz,404,1,17,13.333333333333343,-93.33333333333333,2356.7173910445154,nT
B,neg-off,Bx,404,1,17,13.333333333333343,-93.33333333333333,-2342.1621138849105,nT
B,neg-off,By,404,1,17,13.333333333333343,-93.33333333333333,-16762.28604329929,nT
B,neg-off,Bz,404,1,17,13.333333333333343,-93.33333333333333,-3105.0982102194353,nT
B,pos-off,Bx,401,1,18,20.0,-93.33333333333333,737.3594205038593,nT
B,pos-off,By,401,1,18,20.0,-93.33333333333333,5167.31987761375,nT
B,pos-off,Bz,401,1,18,20.0,-93.33333333333333,490.7862078315942,nT
B,neg-off,Bx,401,1,18,20.0,-93.33333333333333,-1977.6825403553048,nT
B,neg-off,By,401,1,18,20.0,-93.33333333333333,-8144.175107080628,nT
B,neg-off,Bz,401,1,18,20.0,-93.33333333333333,-461.36355541246064,nT
B,pos-off,Bx,342,1,19,26.66666666666667,-93.33333333333333,365.95323268701605,nT
B,pos-off,By,342,1,19,26.66666666666667,-93.33333333333333,4862.396413918957,nT
B,pos-off,Bz,342,1,19,26.66666666666667,-93.33333333333333,-984.9019371397229,nT
B,neg-off,Bx,342,1,19,26.66666666666667,-93.33333333333333,-1671.724018954594,nT
B,neg-off,By,342,1,19,26.66666666666667,-93.33333333333333,-8265.340344112758,nT
B,neg-off,Bz,342,1,19,26.66666666666667,-93.33333333333333,1815.3741184794007,nT
B,pos-off,Bx,339,1,20,33.33333333333334,-93.33333333333333,669.8730141285274,nT
B,pos-off,By,339,1,20,33.33333333333334,-93.33333333333333,2058.776160985597,nT
B,pos-off,Bz,339,1,20,33.33333333333334,-93.33333333333333,-1174.8017887177487,nT
B,neg-off,Bx,339,1,20,33.33333333333334,-93.33333333333333,-1564.083503488695,nT
B,neg-off,By,339,1,20,33.33333333333334,-93.33333333333333,-3352.0531558512785,nT
B,neg-off,Bz,339,1,20,33.33333333333334,-93.33333333333333,1711.2143484952883,nT
B,pos-off,Bx,280,1,21,40.0,-93.33333333333333,354.97856062348154,nT
B,pos-off,By,280,1,21,40.0,-93.33333333333333,2393.0631354809634,nT
B,pos-off,Bz,280,1,21,40.0,-93.33333333333333,-1718.3852230547022,nT
B,neg-off,Bx,280,1,21,40.0,-93.33333333333333,-1079.6230453842504,nT
B,neg-off,By,280,1,21,40.0,-93.33333333333333,-4618.750785413801,nT
