f_GHz,y_fit,y_model,residuals,baseline_raw
2.9028,0.9998011786247579,0.9997124634959702,8.87151287877197e-05,0.07686942350582981
2.903,0.9993524300107719,0.9997094913116392,-0.0003570613008673229,0.0768722283488632
2.9032,0.9967391238168598,0.999706463821648,-0.002967340004788155,0.07687505310204923
2.9034,1.0000130316649458,0.999703379685424,0.0003096519795218189,0.07687789776538745
2.9036,0.9988292759343735,0.9997002375200474,-0.0008709615856739017,0.0768807623388783
2.9038,0.9988433282836751,0.9996970358986148,-0.0008537076149397471,0.07688364682252136
2.904,0.9967317559707727,0.9996937733485303,-0.0029620173777575864,0.07688655121631749
2.9042,0.9976727664500218,0.9996904483497161,-0.0020176818996943124,0.07688947552026582
2.9044,0.9977891257155035,0.9996870593327392,-0.0018979336172356698,0.07689241973436634
2.9046,0.9958702535111505,0.9996836046768502,-0.0038133511656996966,0.07689538385861994
2.9048,0.9968748094990868,0.9996800827079304,-0.002805273208843606,0.07689836789302573
2.905,0.9968229907576709,0.9996764916963375,-0.0028535009386666532,0.07690137183758416
2.9052,0.9965777478426934,0.9996728298546529,-0.0030950820119595157,0.07690439569229524
2.9054,0.9964610412893323,0.9996690953353136,-0.0032080540459812346,0.07690743945715894
2.9056,0.9989967456174732,0.9996652862281329,-0.0006685406106596847,0.07691050313217485
2.9058,0.9962912645913757,0.9996614005576989,-0.0033701359663231845,0.07691358671734339
2.906,0.9977961797337557,0.9996574362806405,-0.0018612565468848485,0.07691669021266456
2.9062,0.9955024630545243,0.9996533912827598,-0.004150928228235484,0.07691981361813838
2.9064,0.9958866554845595,0.9996492633760202,-0.0037626078914607675,0.07692295693376394
2.9066,0.9981759660146743,0.9996450502953785,-0.001469084280704247,0.07692612015954303
2.9068,0.9956757603813126,0.999640749695459,-0.003964989314146461,0.07692930329547387
2.907,0.9987882657241827,0.9996363591470517,-0.0008480934228690673,0.0769325063415578
2.9072,0.997060092595393,0.9996318761334313,-0.0025717835380383303,0.07693572929779391
2.9074,0.9969537068373913,0.999627298046483,-0.002673591209091719,0.07693897216418266
2.9076,0.995958926340577,0.9996226221826204,-0.003663695842043402,0.07694223494072361
2.9078,0.996572863813495,0.9996178457384903,-0.0030449819249953602,0.07694551762741719
2.908,0.999696253215932,0.9996129658064428,8.328740948926328e-05,0.07694882022426386
2.9082,0.9958950441140196,0.9996079793697569,-0.0037129352557372375,0.07695214273126272
