pair_id,left_dip_id_sorted,right_dip_id_sorted,left_center_x1_GHz,right_center_x1_GHz,left_center_x1_err_MHz,right_center_x1_err_MHz,pair_center_GHz,pair_center_minus_D_eff_MHz,splitting_GHz,splitting_MHz,zeeman_half_MHz,left_contrast,right_contrast,D_eff_GHz,variation,lab_axis,run_name,offset_mm
1,1,8,2.8090329123729183,2.93236808069414,0.0701605942857952,0.0853123096853918,2.870700496533529,-0.8610284698820081,0.1233351683212218,123.33516832122184,61.66758416061092,0.0123679032282544,0.0102522476050223,2.871561525003411,Variation Along Z,z,6.8cm-0.3mm,-0.3
2,2,7,2.81969957242957,2.922999121423854,0.0296990165529039,0.0441094503285305,2.871349346926712,-0.2121780766994874,0.103299548994284,103.29954899428408,51.64977449714203,0.0299358556015608,0.0198801402209414,2.871561525003411,Variation Along Z,z,6.8cm-0.3mm,-0.3
3,3,6,2.8333121081579007,2.910423076825613,0.0604323334830694,0.0699844622685113,2.871867592491757,0.3060674883457182,0.0771109686677125,77.1109686677125,38.55548433385625,0.0146072252455007,0.012471007367176,2.871561525003411,Variation Along Z,z,6.8cm-0.3mm,-0.3
4,4,5,2.843702545350774,2.900954782772522,0.0343187516618351,0.0397682412554641,2.872328664061648,0.7671390582366655,0.0572522374217481,57.25223742174812,28.62611871087406,0.0258233331498608,0.0220325657718369,2.871561525003411,Variation Along Z,z,6.8cm-0.3mm,-0.3
1,1,8,2.8096614058239804,2.931717234538436,0.0719984200798651,0.0981064778712227,2.8706893201812083,-0.8294333593790171,0.1220558287144553,122.0558287144553,61.02791435722765,0.0128801325909366,0.0094499452867031,2.8715187535405877,Variation Along Z,z,6.8cm-0.2mm,-0.2
2,2,7,2.8200796509761865,2.922491804734134,0.0307346730974925,0.0454085205359912,2.8712857278551605,-0.2330256854268242,0.1024121537579474,102.41215375794744,51.20607687897372,0.0303422776283805,0.0203147523071387,2.8715187535405877,Variation Along Z,z,6.8cm-0.2mm,-0.2
3,3,6,2.8337227995428558,2.9099814517555336,0.0718922861899819,0.0634460195779501,2.8718521256491947,0.3333721086073993,0.0762586522126782,76.25865221267824,38.12932610633912,0.012912196539002,0.014558151292739,2.8715187535405877,Variation Along Z,z,6.8cm-0.2mm,-0.2
4,4,5,2.843915571342537,2.9005801096110315,0.0366048270037877,0.0391952979838977,2.872247840476784,0.7290869361966656,0.0566645382684947,56.66453826849471,28.332269134247355,0.0254665439936084,0.02374973390286,2.8715187535405877,Variation Along Z,z,6.8cm-0.2mm,-0.2
1,1,8,2.8102012138820123,2.931156306078756,0.0700546992301403,0.0901389655746386,2.870678759980384,-0.8006849556334572,0.1209550921967439,120.95509219674396,60.47754609837197,0.0124911569651208,0.009675703354828,2.8714794449360177,Variation Along Z,z,6.8cm-0.1mm,-0.1
2,2,7,2.820507313043696,2.922029019173107,0.0308790815347709,0.0450012357362509,2.8712681661084014,-0.2112788276162902,0.1015217061294109,101.52170612941092,50.76085306470546,0.0285189064421685,0.019454360986195,2.8714794449360177,Variation Along Z,z,6.8cm-0.1mm,-0.1
3,3,6,2.834091714531889,2.909493771416766,0.0613941855460411,0.0626972369323264,2.8717927429743275,0.3132980383098172,0.0754020568848767,75.40205688487677,37.70102844243839,0.0141537663449111,0.0138674156616697,2.8714794449360177,Variation Along Z,z,6.8cm-0.1mm,-0.1
