rank,candidate_idx,perm,signs,alpha_deg,beta_deg,gamma_deg,chi2,chi2_data_only,rms_MHz_per_mm,surface_cosine_abs,success
44,242,"(2, 1, 3, 0)","(-1, -1, 1, -1)",30.000000000854854,89.8384601387446,1.2657742627664266e-09,3.1593498600580334e-09,1.852876358485301e-21,4.905125646631375e-15,0.9999960254875393,True
45,253,"(2, 1, 3, 0)","(1, 1, -1, 1)",30.000000000854854,89.8384601387446,1.2657742627664266e-09,3.1593498600580334e-09,1.852876358485301e-21,4.905125646631375e-15,0.9999960254875393,True
46,136,"(1, 2, 0, 3)","(1, -1, -1, -1)",-2.8263165227132443e-09,89.83846013873787,29.999999997886583,3.159349860586359e-09,6.670701731809761e-22,6.90840681820861e-15,0.999996025487539,True
47,333,"(3, 1, 0, 2)","(1, 1, -1, 1)",2.216898711489097e-09,89.83846013870559,3.2620193956039347e-09,3.1593498630574122e-09,6.670864971324366e-22,5.097362657857206e-15,0.9999960254875374,True
48,223,"(2, 0, 3, 1)","(1, 1, 1, 1)",-1.3893967947336883e-10,89.83846013864712,29.999999999514518,3.1593498676459183e-09,7.412962260755867e-23,3.682193206295148e-15,0.9999960254875345,True
49,75,"(0, 3, 1, 2)","(1, -1, 1, 1)",30.00000000036003,89.83846013864795,1.6749350926848068e-09,3.1593498676485124e-09,2.668208720365816e-21,6.3648483409691215e-15,0.9999960254875345,True
50,193,"(2, 0, 1, 3)","(-1, -1, -1, 1)",-4.157453407642393e-09,89.83846013861606,29.999999999126217,3.1593498701170646e-09,1.6675881373734194e-22,3.1086244689504383e-15,0.999996025487533,True
51,160,"(1, 3, 0, 2)","(-1, -1, -1, -1)",29.999999998673687,89.83846013860442,2.2038203268282884e-10,3.1593498710006026e-09,1.1858829749135812e-21,5.3367748311987965e-15,0.9999960254875324,True
52,244,"(2, 1, 3, 0)","(-1, 1, -1, -1)",2.1123533958381304e-11,89.83846013859996,29.99999999944796,3.159349871352591e-09,1.6676330152933242e-22,3.1191801002388134e-15,0.9999960254875322,True
53,251,"(2, 1, 3, 0)","(1, -1, 1, 1)",2.1123533958381304e-11,89.83846013859996,29.99999999944796,3.159349871352591e-09,1.6676330152933242e-22,3.1191801002388134e-15,0.9999960254875322,True
54,176,"(1, 3, 2, 0)","(-1, -1, -1, -1)",-2.2306038689220692e-10,89.83846013858417,-7.019874050853016e-10,3.159349872588248e-09,2.9647105570583104e-22,2.945754565036118e-15,0.9999960254875314,True
55,255,"(2, 1, 3, 0)","(1, 1, 1, 1)",-9.263538612463868e-10,89.83846013856146,-1.2195176162546404e-09,3.1593498743530635e-09,7.415538056535333e-23,4.142188393658237e-15,0.9999960254875303,True
56,31,"(0, 1, 3, 2)","(1, 1, 1, 1)",-3.7351107689982507e-10,89.83846013855138,29.999999999828184,3.159349875059912e-09,9.080302586072677e-22,6.744700057656012e-15,0.9999960254875299,True
57,351,"(3, 1, 2, 0)","(1, 1, 1, 1)",-1.0514242104694382e-09,89.83846013854523,29.999999999791893,3.15934987558859e-09,7.411590418847034e-23,2.9485427857881315e-15,0.9999960254875295,True
