variation,lab_axis,run_name,offset_mm,pair_id,nv_axis,nu_left_GHz,nu_right_GHz,splitting_MHz,pair_center_minus_D_eff_MHz,D_eff_GHz,nu_left_MHz,nu_right_MHz,nu0_left_MHz,delta_nu_left_MHz
Variation Along Y,y,0cm-0.4mm,-0.4,1,d3,2.8110795202871643,2.9282493353723766,117.16981508521228,-1.5226800601562118,2.8711871078899267,2811.0795202871645,2928.2493353723767,2810.718474974199,0.3610453129654161
Variation Along Y,y,0cm-0.4mm,-0.4,2,d2,2.8191011722706807,2.9231885025766493,104.08733030596862,-0.0422704662619288,2.8711871078899267,2819.1011722706808,2923.188502576649,2820.890454816311,-1.789282545630158
Variation Along Y,y,0cm-0.4mm,-0.4,3,d4,2.83550345726384,2.908082300981982,72.5788437181425,0.6057712329838871,2.8711871078899267,2835.5034572638397,2908.082300981982,2834.492983647766,1.0104736160737957
Variation Along Y,y,0cm-0.4mm,-0.4,4,d1,2.843311139690267,2.900981434676454,57.67029498618781,0.9591792934338096,2.8711871078899267,2843.311139690267,2900.9814346764542,2844.4111669477,-1.1000272574333394
Variation Along Y,y,0cm-0.3mm,-0.3,1,d3,2.8108955935203457,2.94597912469812,135.0835311777745,1.9876855718439224,2.876449673537389,2810.8955935203458,2945.9791246981204,2810.718474974199,0.17711854614663025
Variation Along Y,y,0cm-0.3mm,-0.3,2,d2,2.8195499358655565,2.9304146153658768,110.8646795003203,-1.4673979216723865,2.876449673537389,2819.5499358655566,2930.4146153658767,2820.890454816311,-1.3405189507543582
Variation Along Y,y,0cm-0.3mm,-0.3,3,d4,2.8352742678690963,2.922841392698627,87.56712482953066,2.608156746472634,2.876449673537389,2835.274267869096,2922.841392698627,2834.492983647766,0.7812842213302247
Variation Along Y,y,0cm-0.3mm,-0.3,4,d1,2.843645746706612,2.9029967115748767,59.35096486826463,-3.128444396644614,2.876449673537389,2843.645746706612,2902.996711574877,2844.4111669477,-0.7654202410881226
Variation Along Y,y,0cm-0.2mm,-0.2,1,d3,2.810847040944955,2.9303543344474416,119.5072935024868,-0.8446095803957832,2.871445297276594,2810.8470409449546,2930.3543344474415,2810.718474974199,0.1285659707555169
Variation Along Y,y,0cm-0.2mm,-0.2,2,d2,2.819997975037823,2.9224616132614027,102.46363822357996,-0.2155031269812646,2.871445297276594,2819.997975037823,2922.461613261403,2820.890454816311,-0.8924797784879956
Variation Along Y,y,0cm-0.2mm,-0.2,3,d4,2.834999217750475,2.908595385927802,73.5961681773274,0.3520045625444723,2.871445297276594,2834.9992177504746,2908.595385927802,2834.492983647766,0.5062341027087314
Variation Along Y,y,0cm-0.2mm,-0.2,4,d1,2.843830662895532,2.9004761479473204,56.64548505178857,0.7081081448321314,2.871445297276594,2843.830662895532,2900.4761479473204,2844.4111669477,-0.5805040521681804
Variation Along Y,y,0cm-0.1mm,-0.1,1,d3,2.810716697292584,2.958927613394481,148.21091610189717,9.814181735321448,2.875007973608211,2810.716697292584,2958.927613394481,2810.718474974199,-0.0017776816152945685
Variation Along Y,y,0cm-0.1mm,-0.1,2,d2,2.8204589425163684,2.9220496043144397,101.59066179807084,-3.753700192807408,2.875007973608211,2820.4589425163686,2922.04960431444,2820.890454816311,-0.4315122999423693
Variation Along Y,y,0cm-0.1mm,-0.1,3,d4,2.83480776653053,2.908800751883747,73.9929853532173,-3.203714401072588,2.875007973608211,2834.80776653053,2908.800751883747,2834.492983647766,0.3147828827641206
Variation Along Y,y,0cm-0.1mm,-0.1,4,d1,2.8441070016317105,2.900195411301828,56.08840967011686,-2.85676714144234,2.875007973608211,2844.1070016317103,2900.195411301828,2844.4111669477,-0.30416531598984875
Variation Along Y,y,0cm-0.0mm,0.0,1,d3,2.810718474974199,2.9305685567174846,119.85008174328549,-0.8283242124913492,2.871471840058333,2810.718474974199,2930.5685567174846,2810.718474974199,0.0
Variation Along Y,y,0cm-0.0mm,0.0,2,d2,2.8208904548163107,2.921623268939018,100.7328141227073,-0.2149781806690676,2.871471840058333,2820.890454816311,2921.623268939018,2820.890454816311,0.0
Variation Along Y,y,0cm-0.0mm,0.0,3,d4,2.834492983647766,2.909127241710297,74.63425806253099,0.3382726206981878,2.871471840058333,2834.492983647766,2909.127241710297,2834.492983647766,0.0
Variation Along Y,y,0cm-0.0mm,0.0,4,d1,2.8444111669477,2.899942572713892,55.53140576619153,0.7050297724626731,2.871471840058333,2844.4111669477,2899.9425727138923,2844.4111669477,0.0
Variation Along Z,z,6.8cm-0.5mm,-0.5,1,d3,2.807903768512599,2.9336894913453024,125.7857228327035,-0.8997052426953367,2.871696335171646,2807.903768512599,2933.6894913453025,2806.329458277993,1.5743102346059459
Variation Along Z,z,6.8cm-0.5mm,-0.5,2,d2,2.818881663586616,2.923999707997023,105.11804441040697,-0.2556493798264725,2.871696335171646,2818.881663586616,2923.999707997023,2820.707386660703,-1.825723074086909
Variation Along Z,z,6.8cm-0.5mm,-0.5,3,d4,2.832444092083822,2.911727704065665,79.28361198184275,0.3895629030976621,2.871696335171646,2832.444092083822,2911.727704065665,2831.5561720735172,0.8879200103046969
Variation Along Z,z,6.8cm-0.5mm,-0.5,4,d1,2.8431707609640338,2.901753492818105,58.58273185407148,0.7657917194237029,2.871696335171646,2843.170760964034,2901.753492818105,2844.5521652610787,-1.38140429704481
Variation Along Z,z,6.8cm-0.4mm,-0.4,1,d3,2.8084986310110684,2.932921457111275,124.42282610020648,-0.8949029130480568,2.8716049469742195,2808.4986310110685,2932.921457111275,2806.329458277993,2.1691727330753565
Variation Along Z,z,6.8cm-0.4mm,-0.4,2,d2,2.819320044879731,2.923458300769493,104.13825588976256,-0.2157741496073839,2.8716049469742195,2819.320044879731,2923.458300769493,2820.707386660703,-1.3873417809718376
Variation Along Z,z,6.8cm-0.4mm,-0.4,3,d4,2.8328543053484583,2.910998458117155,78.1441527686968,0.3214347585869248,2.8716049469742195,2832.854305348458,2910.998458117155,2831.5561720735172,1.2981332749409376
Variation Along Z,z,6.8cm-0.4mm,-0.4,4,d1,2.843437282271892,2.901351096284684,57.913814012791946,0.7892423040685159,2.8716049469742195,2843.437282271892,2901.351096284684,2844.5521652610787,-1.1148829891867535
